LOCATION,MNF_YEAR,BRAND,MODEL,VARIANT,DRIVEN_KM,FUELTYPE,NOOF_OWNERS,PRICE
New Delhi,2020,Hyundai,VENUE S MT 1.2 KAPPA,Manual,"3,393 km",Petrol,1st Owner,"₹6,78,199"
New Delhi,2017,Toyota,Innova Crysta Touring Sport Diesel AT,Automatic,"85,295 km",Diesel,1st Owner,"₹15,00,699"
New Delhi,2018,Maruti,Vitara Brezza ZDI + AMT,Automatic,"28,144 km",Diesel,1st Owner,"₹9,13,699"
New Delhi,2018,Maruti,Vitara Brezza VDI,Manual,"82,601 km",Diesel,1st Owner,"₹6,36,299"
New Delhi,2017,Hyundai,Creta 1.6 E + VTVT,Manual,"53,571 km",Petrol,2nd Owner,"₹7,47,799"
New Delhi,2018,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"21,169 km",Diesel,1st Owner,"₹8,80,499"
New Delhi,2018,Maruti,Vitara Brezza VDI,Manual,"40,458 km",Diesel,1st Owner,"₹7,79,299"
New Delhi,2016,Maruti,Vitara Brezza VDI OPT,Manual,"70,028 km",Diesel,1st Owner,"₹5,84,299"
New Delhi,2018,Maruti,Eeco 7 STR,Manual,"18,876 km",Petrol,2nd Owner,"₹3,40,699"
New Delhi,2014,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"62,254 km",Diesel,1st Owner,"₹5,38,699"
New Delhi,2018,Maruti,Eeco 7 STR,Manual,"72,019 km",Petrol,1st Owner,"₹3,29,399"
New Delhi,2016,Maruti,Vitara Brezza VDI OPT,Manual,"41,629 km",Diesel,1st Owner,"₹7,84,299"
New Delhi,2019,Maruti,XL6 ALPHA SHVS  MT,Manual,"11,659 km",Petrol,1st Owner,"₹9,78,999"
New Delhi,2017,Maruti,Vitara Brezza VDI OPT,Manual,"34,749 km",Diesel,1st Owner,"₹7,78,699"
New Delhi,2018,Maruti,Vitara Brezza VDI OPT,Manual,"71,192 km",Diesel,1st Owner,"₹7,19,399"
New Delhi,2018,Hyundai,Creta 1.4 E PLUS CRDI,,"32,387 km",Diesel,1st Owner,"₹8,95,399"
New Delhi,2018,Maruti,Vitara Brezza VDI,Manual,"61,718 km",Diesel,1st Owner,"₹6,50,599"
New Delhi,2016,Hyundai,Creta 1.6 SX PLUS DIESEL,Manual,"95,195 km",Diesel,1st Owner,"₹8,62,499"
New Delhi,2018,Maruti,Vitara Brezza ZDI,Manual,"54,687 km",Diesel,1st Owner,"₹7,54,299"
New Delhi,2018,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"21,169 km",Diesel,1st Owner,"₹8,80,499"
New Delhi,2018,Maruti,Vitara Brezza VDI,Manual,"40,458 km",Diesel,1st Owner,"₹7,79,299"
New Delhi,2016,Maruti,Vitara Brezza VDI OPT,Manual,"70,028 km",Diesel,1st Owner,"₹5,84,299"
New Delhi,2018,Maruti,Eeco 7 STR,Manual,"18,876 km",Petrol,2nd Owner,"₹3,40,699"
New Delhi,2014,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"62,254 km",Diesel,1st Owner,"₹5,38,699"
New Delhi,2018,Maruti,Eeco 7 STR,Manual,"72,019 km",Petrol,1st Owner,"₹3,29,399"
New Delhi,2017,Maruti,Vitara Brezza VDI OPT,Manual,"83,741 km",Diesel,1st Owner,"₹6,75,599"
New Delhi,2018,Maruti,Vitara Brezza ZDI AMT,Automatic,"43,568 km",Diesel,2nd Owner,"₹7,83,999"
New Delhi,2019,Maruti,Vitara Brezza VDI,Manual,"31,245 km",Diesel,1st Owner,"₹8,05,399"
New Delhi,2015,Hyundai,Creta 1.6 S,Manual,"22,587 km",Petrol,1st Owner,"₹8,02,599"
New Delhi,2018,Maruti,Vitara Brezza VDI,Manual,"26,042 km",Diesel,1st Owner,"₹7,42,399"
Noida,2018,Hyundai,Creta 1.6 E + VTVT,Manual,"39,294 km",Petrol,2nd Owner,"₹8,98,799"
Noida,2016,Maruti,Vitara Brezza ZDI,Manual,"92,569 km",Diesel,1st Owner,"₹6,69,099"
Noida,2018,Maruti,Vitara Brezza VDI OPT,Manual,"60,395 km",Diesel,1st Owner,"₹6,83,399"
Noida,2020,Hyundai,VENUE S MT 1.2 KAPPA,Manual,"3,393 km",Petrol,1st Owner,"₹6,78,199"
Noida,2017,Toyota,Innova Crysta Touring Sport Diesel AT,Automatic,"85,295 km",Diesel,1st Owner,"₹15,00,699"
Noida,2018,Maruti,Vitara Brezza ZDI + AMT,Automatic,"28,144 km",Diesel,1st Owner,"₹9,13,699"
Noida,2018,Maruti,Vitara Brezza VDI,Manual,"82,601 km",Diesel,1st Owner,"₹6,36,299"
Noida,2017,Hyundai,Creta 1.6 E + VTVT,Manual,"53,571 km",Petrol,2nd Owner,"₹7,47,799"
Noida,2015,Hyundai,Creta 1.6 SX PLUS DIESEL,Manual,"80,045 km",Diesel,2nd Owner,"₹7,76,799"
Noida,2018,Maruti,Vitara Brezza VDI OPT,Manual,"36,116 km",Diesel,1st Owner,"₹6,86,499"
Noida,2016,Maruti,Vitara Brezza ZDI,Manual,"72,378 km",Diesel,1st Owner,"₹6,58,799"
Noida,2018,Maruti,Eeco 5 STR CNG WITH AC PLUSHTR,Manual,"36,507 km",Petrol + CNG,1st Owner,"₹3,43,699"
Noida,2018,Maruti,Vitara Brezza VDI,Manual,"34,119 km",Diesel,1st Owner,"₹6,99,499"
Noida,2017,Maruti,Vitara Brezza LDI OPT,Manual,"39,643 km",Diesel,1st Owner,"₹6,17,199"
